Category,Question,Answer,Grid
UNI,a Czech first brandish a Bren gun?,"Brno, Czechoslovakia",19-H/545-A
AMR,Alligator Alley’s western exit at?,"Naples, Fla.",266-C/467-E
EUR,Old Vic sit?,London,4-H/517-A
WAT,Florence Chadwick challenge the Channel?,"Calais, France",5-A/525-S
UNI,MI 5 HQ be?,London,4-H/517-A
AMR,Brigham Young set a city?,Salt Lake City,243-A/417-H
EUR,opera had the Phantom found?,Paris,5-A/526-E
WAT,Amazon River deliver?,The Atlantic Ocean,291-R or C
UNI,Tour de France final furlong found?,Paris,5-A/526-E
AMR,Paul Revere R.I.P.?,Boston,277-C/482-R
EUR,whereabouts of Winnie’s Blenheim birthplace?,"Blenheim Palace, England",4-S/518-H
WAT,Cretan capital crouch?,"Iraklion, Crete",29-E/566-S
UNI,Nebraska’s southeast corner clip?,Northeastern Kansas,253-C/445-H
